"","ano","n","recorte"
"1",1997,161,"0"
"2",1998,134,"0"
"3",1999,165,"0"
"4",2001,227,"0"
"5",2004,294,"0"
"6",2005,290,"0"
"7",2006,218,"0"
"8",2007,185,"0"
"9",2008,217,"0"
"10",2009,228,"0"
"11",2010,176,"0"
"12",2011,193,"0"
"13",2014,132,"1"
"14",2015,291,"1"
"15",2016,260,"1"
"16",2017,320,"1"
"17",2018,245,"1"
"18",2019,334,"1"
"19",2020,503,"1"
"20",2021,572,"1"
"21",2022,392,"1"
"22",2023,336,"1"
"23",2024,294,"1"
"24",2025,86,"0"
"25",1988,1,"0"
"26",1989,81,"0"
"27",1990,156,"0"
"28",1991,126,"0"
"29",1992,83,"0"
"30",1993,99,"0"
"31",1994,100,"0"
"32",1995,124,"0"
"33",1996,100,"0"
"34",2000,263,"0"
"35",2002,216,"0"
"36",2003,318,"0"
"37",2012,208,"0"
"38",2013,227,"0"
