"";"";"";"";"*adpf_669";""
"1";"*adpf_669";"-1.60213887669459";"-0.57838701028435";"1.04387894958801";"27"
"2";"*id_despacho1082190";"-1.63331455435402";"-0.645998124870509";"1.0430180691624";"28"
"3";"*id_sjur443270";"-1.61943826457487";"-0.569269634199447";"1.00500774508532";"38"
"4";"*id_despacho1164672";"-1.64040289992624";"-0.638782643973433";"0.978958306299877";"41"
"5";"*adpf_737";"-1.35755727478508";"-0.372787069810033";"0.905065326347888";"74"
"6";"*adpf_1021";"-1.06783753259768";"-0.381879239189964";"0.897857125478492";"82"
"7";"*id_despacho1261837";"-1.50143620992794";"-0.493734435719526";"0.895729457276325";"83"
"8";"*id_despacho1239024";"-1.58765075038528";"-0.517497136392246";"0.894248564523454";"85"
"9";"*id_despacho1157391";"1.47959969727321";"-0.649520667633834";"0.892272554012846";"89"
"10";"*id_despacho1402668";"-1.28055256122726";"-0.37343057289452";"0.889083281969766";"99"
"11";"*id_despacho543411";"-1.6453578628903";"-0.44910072002656";"0.887495336728735";"101"
"12";"*id_sjur446549";"1.68635094744841";"-0.456844322822715";"0.885726740413936";"105"
"13";"*id_despacho1299618";"-1.53023762764821";"-0.418575259939949";"0.883813177188088";"109"
"14";"*adpf_658";"-1.44761028183556";"-0.286470716480474";"0.866604489716473";"123"
"15";"*id_despacho1299617";"-1.44761028183556";"-0.286470716480474";"0.866604489716473";"124"
"16";"*id_despacho1214596";"0.974205032987252";"1.79435785747313";"0.862445054499449";"135"
"17";"*id_despacho1213620";"-1.3997036295239";"-0.408216096187561";"0.861831732952702";"141"
"18";"*id_despacho1383717";"1.18563974735076";"-0.71918220932071";"0.856604003114254";"153"
"19";"*id_despacho1090576";"-1.19857587580626";"-0.767709150858701";"0.855236853630053";"155"
"20";"*id_despacho1171296";"1.5388512985597";"-0.353258790414401";"0.852692126776098";"158"
"21";"*adpf_780";"1.5388512985597";"-0.353258790414401";"0.852692126776098";"159"
"22";"*id_despacho764513";"1.6853590602445";"-0.0920874238008306";"0.852692126776098";"161"
"23";"*id_despacho1134099";"1.37934123033494";"-0.789251956911859";"0.851423108739376";"165"
"24";"*adpf_736";"1.37934123033494";"-0.789251956911859";"0.851423108739376";"166"
"25";"*adpf_921";"-0.964288105799578";"-0.193676491276445";"0.851309365470707";"167"
"26";"*id_despacho1591673";"-0.964288105799578";"-0.193676491276445";"0.851309365470707";"168"
"27";"*id_despacho1379226";"-0.736434162174731";"-0.231457373924104";"0.851244687925777";"170"
"28";"*id_despacho598801";"-0.953709351835227";"-0.186653900305008";"0.849413644326218";"172"
"29";"*id_despacho1165722";"-1.706508928637";"-0.558111377395702";"0.849215151171089";"173"
"30";"*id_despacho1502632";"1.56013416955617";"0.103767956239716";"0.848488086355674";"175"
"31";"*id_sjur453428";"1.69389441184031";"-0.131659176451848";"0.846942516057873";"178"
"32";"*adpf_617";"1.37201156406707";"0.0585491963045451";"0.84584745831441";"184"
"33";"*adpf_958";"1.40605043898465";"0.421581845300865";"0.844092243560631";"189"
"34";"*id_despacho1274520";"-1.60140553438486";"-0.370749310042489";"0.843318343281645";"190"
"35";"*adpf_601";"-0.731801536117896";"-0.0393428059739339";"0.842426239213651";"192"
"36";"*id_sjur453426";"1.69075897656022";"-0.117122614253516";"0.841861983390644";"195"
"37";"*adpf_924";"-0.927222337846393";"-0.598226861055015";"0.838028166158438";"200"
"38";"*id_despacho1591622";"-0.927222337846393";"-0.598226861055015";"0.838028166158438";"201"
"39";"*id_despacho1339692";"-1.57001101402383";"-0.314784017196724";"0.835909418996951";"203"
"40";"*id_despacho1006127";"-0.744625673880176";"-0.299190432616898";"0.835646248296892";"204"
"41";"*id_despacho1082185";"-1.66604131159874";"-0.485971971783769";"0.834111829299942";"206"
"42";"*id_sjur485260";"1.45799433714455";"0.630114465649361";"0.830935938817881";"208"
"43";"*adpf_697";"-0.586033309766903";"-0.394978183062988";"0.826635997210147";"220"
"44";"*id_sjur474291";"1.32626462524947";"1.57275274130271";"0.825746123402323";"223"
"45";"*id_despacho1453942";"-0.81252261522608";"0.203677268854142";"0.822336055602414";"228"
"46";"*id_despacho1268213";"-1.60140553438486";"-0.370749310042489";"0.821640214429378";"229"
"47";"*id_despacho1172034";"-0.809654663180473";"0.087790273097835";"0.820696814377474";"231"
