"";"";"";"";"controversia";""
"1";"controversia";"1.81823867105287";"-1.5827306869132";"1.66033382189992";"12"
"2";"preceito_fundamental";"1.71555885350635";"-1.19227016007882";"1.32710682364662";"21"
"3";"abstrato";"1.78782314920255";"-1.14360957855563";"1.16707939366652";"40"
"4";"capaz";"1.76473246485636";"-1.88855578105565";"1.16029222987537";"41"
"5";"subjetivo";"1.84523004411527";"-1.62060697446446";"1.11061043680407";"46"
"6";"sucedaneo";"1.95590853811779";"-1.74237734864797";"1.0788831463688";"52"
"7";"controle_concentrado";"1.91353479694193";"-1.65077176169011";"1.05845842873155";"60"
"8";"pressuposto";"1.75712006441321";"-1.20206749808748";"1.02114000466214";"76"
"9";"existencia";"1.16210090169187";"-0.993764780898962";"1.00272886789862";"88"
"10";"concentrado";"1.88850588903683";"-1.70564425575634";"0.99288664616603";"94"
"11";"cabivel";"1.69305891167743";"-0.982706817078635";"0.99083530516252";"95"
"12";"controle_de_constitucionalidade";"1.57684503696823";"-1.2817367104806";"0.970998943035691";"111"
"13";"postulado";"1.55371109775417";"-1.42246432188658";"0.965419225254741";"119"
"14";"incabivel";"1.92238989881587";"-1.67009260292018";"0.963614642308589";"121"
"15";"controle_abstrato_de_constitucionalidade";"1.77213569062626";"-1.21986452479487";"0.960542021516089";"125"
"16";"resultante";"1.82487201340144";"-1.98618495771577";"0.954709398679912";"132"
"17";"efetividade";"1.35026055895328";"-1.82292626065758";"0.943470930288254";"146"
"18";"controle_concentrado_de_constitucionalidade";"1.72884473117198";"-0.843288685112535";"0.942518145618388";"148"
"19";"procedibilidade";"2.13613117895785";"-2.18196533726142";"0.941896420690955";"150"
"20";"camara_municipal";"0.459959478011176";"2.82922379390685";"0.919139356433272";"169"
"21";"tratamento";"-1.63023024648866";"-0.67349049797684";"0.911340572421215";"184"
"22";"governo";"-1.50444447983921";"-0.527511733420359";"0.905424526042515";"194"
"23";"extincao";"0.256716363777702";"2.40994828489194";"0.904046720377058";"199"
"24";"organizacao";"-1.4408135145559";"-0.585183361006702";"0.897424647385849";"209"
"25";"produto";"-1.70052975269001";"-0.706264519889849";"0.895965174462976";"211"
"26";"substancial";"0.412423298820423";"2.77126213186428";"0.895858041071526";"212"
"27";"saude_publica";"-1.6004005568516";"-0.57692574560432";"0.895022049361191";"214"
"28";"grupo";"-1.57686196130615";"-0.676382988594672";"0.894027113848787";"216"
"29";"garantir";"-1.51639687769759";"-0.470565982910193";"0.891995091981441";"217"
"30";"privado";"-1.48214959789388";"-0.604454473626423";"0.8900412248013";"223"
"31";"agrotoxico";"-1.77817880463371";"-0.77979435345776";"0.889632010371662";"224"
"32";"territorio";"-1.3873390267563";"-0.629685963649475";"0.887752785308515";"226"
"33";"direitos_humanos";"-1.7396061549432";"-0.617111990920192";"0.88641186163028";"227"
"34";"dose";"-1.74982246366246";"-0.729245056693846";"0.885971034068738";"228"
"35";"contrato";"-1.35472399772788";"-0.682993723817832";"0.885839312685807";"230"
"36";"aprovar";"-1.52681168349811";"-0.515065540818163";"0.885447661107226";"231"
"37";"medicar";"-1.69061570610382";"-0.529779399614077";"0.883449008656889";"232"
"38";"agenciar";"-1.55830796034288";"-0.608683932799808";"0.880151583370854";"234"
