"";"";"";"";"segundo";""
"1";"segundo";"-0.377257822073099";"0.124501024709648";"0.815371664950595";"227"
"2";"concomitantemente";"-0.69665326181253";"0.673141501054202";"0.814157589551834";"235"
"3";"individualmente";"0.0213412892869886";"0.0674312795880063";"0.813954912480356";"240"
"4";"minimamente";"-0.390048410159825";"-0.335463075545959";"0.813271374121642";"248"
"5";"tambem";"-0.260528111419007";"-0.172198378131663";"0.811872504922416";"261"
"6";"tradicionalmente";"-0.00487044844955563";"0.982964902967204";"0.81146118968912";"264"
"7";"relativamente";"-0.861783646483364";"-0.0318675185525418";"0.809953033833704";"275"
"8";"obrigatoriamente";"-0.563734404532044";"0.943348589454816";"0.808824400729782";"283"
"9";"absolutamente";"-0.767081781896631";"-0.157016996658637";"0.808776712007081";"285"
"10";"exemplificativamente";"-0.283643958599452";"1.10292821990113";"0.807850755974638";"294"
"11";"provisoriamente";"-0.0710916381224865";"1.24150952545217";"0.806845318737694";"304"
"12";"automaticamente";"-0.283172199831778";"0.976849075454009";"0.806845318737694";"305"
"13";"privativamente";"-0.249637339988998";"0.523075055466646";"0.806563160461714";"307"
"14";"simultaneamente";"-0.490223267987018";"0.442828678624043";"0.806563160461714";"308"
"15";"primeiramente";"-0.0970705604478834";"1.13006874187345";"0.805893531313788";"312"
"16";"verdadeiramente";"-0.425335351294117";"0.67370972045267";"0.805843855560975";"313"
"17";"assim";"0.152088843734485";"-0.0204344226011034";"0.805776296537148";"315"
"18";"totalmente";"-0.390035942921222";"0.922355036675067";"0.80573854296501";"316"
"19";"consequentemente";"-0.272853781418615";"0.837226300073282";"0.805519969652631";"318"
"20";"alternativamente";"-0.169441678661907";"1.21936055945508";"0.805003341823371";"320"
"21";"diferentemente";"-0.499968573682013";"0.163201293411737";"0.805003341823371";"321"
"22";"recorrentemente";"-0.252944094400264";"0.461424040401132";"0.80430589425387";"327"
"23";"detidamente";"-0.252944094400264";"0.461424040401132";"0.80430589425387";"329"
"24";"igualmente";"0.429083911424482";"-0.0912606591563487";"0.80401578785744";"332"
